"你好 世界","你好 世界"
"你好，世界","你好，世界"
"admin.login.WelcomeBanner","欢迎使用乐瀛流量平台"
"Sign in","登录"
"signin","登录"
"signout","登出"
"success","成功"
"error","错误"
"China","中国"
"Philippines","菲律宾"
"Indonesia","印度尼西亚"
"快捷菜单","快捷菜单"
"key","键"
"value","值"
"title","标题"
"sort","排序"
"status","状态"
"option","操作"
"remark","备注"
"created_at","创建时间"
